tweet,long_tweet,host_tweet,label,clean_tweet,removed_sw,stemmed
"Vaseline Gluta Hya 200ml
💰dari 56.500 ke 47.300
 lagi turun harga nih bestie buruan di checkout
 https://t.co/dmhP33fGeU
4.9 ⭐️⭐️⭐️⭐️
Shopee Hamil iqbal vagabond senin sunscreen Bima sakti 15 SKS markus bintang emon kenceng  U-17 tifa besok 10.10 sang ah kerasa #racunshopee https://t.co/Ip1j0g5Pue","Vaseline Gluta Hya 200ml
💰dari 56.500 ke 47.300
 lagi turun harga nih bestie buruan di checkout
 https://shope.ee/5zqegV9uqY
4.9 ⭐️⭐️⭐️⭐️
Shopee Hamil iqbal vagabond senin sunscreen Bima sakti 15 SKS markus bintang emon kenceng  U-17 tifa besok 10.10 sang ah kerasa #racunshopee https://twitter.com/anny_prtw12/status/1579253004947320833/photo/1","Vaseline Gluta Hya 200ml
💰dari 56.500 ke 47.300
 lagi turun harga nih bestie buruan di checkout
 shope.ee
4.9 ⭐️⭐️⭐️⭐️
Shopee Hamil iqbal vagabond senin sunscreen Bima sakti 15 SKS markus bintang emon kenceng  U-17 tifa besok 10.10 sang ah kerasa #racunshopee twitter.com",1,vaseline gluta hya 200ml dari 56 500 ke 47 300 lagi turun harga nih bestie buruan di checkout shope ee 4 9 shopee hamil iqbal vagabond senin sunscreen bima sakti 15 sks markus bintang emon kenceng u 17 tifa besok 10 10 sang ah kerasa racunshopee twitter com,vaseline gluta hya 200ml 56 500 47 300 turun harga nih bestie buruan checkout shope ee 4 9 shopee hamil iqbal vagabond senin sunscreen bima sakti 15 sks markus bintang emon kenceng u 17 tifa besok 10 10 sang ah kerasa racunshopee twitter com,vaseline gluta hya 200ml 56 500 47 300 turun harga nih bestie buru checkout shope ee 4 9 shopee hamil iqbal vagabond senin sunscreen bima sakti 15 sks markus bintang emon kenceng u 17 tifa besok 10 10 sang ah rasa racunshopee twitter com
"Fans kpop bts harus punya nih 
OTOMATIS GRATIS ONGKIR TANPA VOUCHER

https://t.co/mvMqdPUoiq

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin https://t.co/Cdv8kcKWZS","Fans kpop bts harus punya nih 
OTOMATIS GRATIS ONGKIR TANPA VOUCHER

https://shope.ee/10Rz3oYyVV

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin https://twitter.com/rizhrizal/status/1579248741587898370/photo/1","Fans kpop bts harus punya nih 
OTOMATIS GRATIS ONGKIR TANPA VOUCHER

shope.ee

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin twitter.com",1,fans kpop bts harus punya nih otomatis gratis ongkir tanpa voucher shope ee shopeepaythr zonauang zonaba chaeryeong itzy iqbal besok 10 10 kuntilanak bintang emon senin twitter com,fans kpop bts nih otomatis gratis ongkir voucher shope ee shopeepaythr zonauang zonaba chaeryeong itzy iqbal besok 10 10 kuntilanak bintang emon senin twitter com,fans kpop bts nih otomatis gratis ongkir voucher shope ee shopeepaythr zonauang zonaba chaeryeong itzy iqbal besok 10 10 kuntilanak bintang emon senin twitter com
"Rekomendasi aksesoris aeshtetik buat ciwik2✨
Belinya disini 👉 https://t.co/jlnxYMNdwy

Info promo dan diskon⤵️

_____
Dokter|Nunez|Besok Senin|Local|Wasit https://t.co/qhgaSjknei","Rekomendasi aksesoris aeshtetik buat ciwik2✨
Belinya disini 👉 https://shp.ee/d2wejmd

Info promo dan diskon⤵️

_____
Dokter|Nunez|Besok Senin|Local|Wasit https://twitter.com/ootdhijabID/status/1579243253844410369/photo/1","Rekomendasi aksesoris aeshtetik buat ciwik2✨
Belinya disini 👉 shp.ee

Info promo dan diskon⤵️

_____
Dokter|Nunez|Besok Senin|Local|Wasit twitter.com",1,rekomendasi aksesoris aeshtetik buat ciwik2 belinya disini shp ee info promo dan diskon _____ dokter nunez besok senin local wasit twitter com,rekomendasi aksesoris aeshtetik ciwik2 belinya shp ee info promo diskon _____ dokter nunez besok senin local wasit twitter com,rekomendasi aksesoris aeshtetik ciwik2 beli shp ee info promo diskon dokter nunez besok senin local wasit twitter com
"Gratisss nih roughneck
https://t.co/NjyzxuDl2C

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin https://t.co/nPYolomyK0","Gratisss nih roughneck
https://shope.ee/89v9YI055M

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin https://twitter.com/rizhrizal/status/1579243084608524290/photo/1","Gratisss nih roughneck
shope.ee

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin twitter.com",1,gratisss nih roughneck shope ee shopeepaythr zonauang zonaba chaeryeong itzy iqbal besok 10 10 kuntilanak bintang emon senin twitter com,gratisss nih roughneck shope ee shopeepaythr zonauang zonaba chaeryeong itzy iqbal besok 10 10 kuntilanak bintang emon senin twitter com,gratisss nih roughneck shope ee shopeepaythr zonauang zonaba chaeryeong itzy iqbal besok 10 10 kuntilanak bintang emon senin twitter com
"Besok senin even 10.10 di Tokopedia. Jangan lupa belanja ke toko dibawah ini !!
1. Nivea : 
https://t.co/R7g5kHep8j
2. Unilever :
https://t.co/bukVFYhA94

Klaim voucher kebut gopay di tokopedia via link dibawah ini

https://t.co/KTKsz6UMDy

#KebutGoPay #TokopediaPromo #tokopedia https://t.co/fvYPoOoYv2","Besok senin even 10.10 di Tokopedia. Jangan lupa belanja ke toko dibawah ini !!
1. Nivea : 
https://tokopedia.link/NSJgMunzZtb
2. Unilever :
https://tokopedia.link/TTNP6m7yZtb

Klaim voucher kebut gopay di tokopedia via link dibawah ini

https://www.tokopedia.com/rewards/kupon/detail/GPKGOCT22A

#KebutGoPay #TokopediaPromo #tokopedia https://twitter.com/byuxpromotokped/status/1579181950467964928/photo/1","Besok senin even 10.10 di Tokopedia. Jangan lupa belanja ke toko dibawah ini !!
1. Nivea : 
tokopedia.link
2. Unilever :
tokopedia.link

Klaim voucher kebut gopay di tokopedia via link dibawah ini

www.tokopedia.com

#KebutGoPay #TokopediaPromo #tokopedia twitter.com",1,besok senin even 10 10 di tokopedia jangan lupa belanja ke toko dibawah ini 1 nivea tokopedia link 2 unilever tokopedia link klaim voucher kebut gopay di tokopedia via link dibawah ini www tokopedia com kebutgopay tokopediapromo tokopedia twitter com,besok senin even 10 10 tokopedia lupa belanja toko dibawah 1 nivea tokopedia link 2 unilever tokopedia link klaim voucher kebut gopay tokopedia via link dibawah www tokopedia com kebutgopay tokopediapromo tokopedia twitter com,besok senin even 10 10 tokopedia lupa belanja toko bawah 1 nivea tokopedia link 2 unilever tokopedia link klaim voucher kebut gopay tokopedia via link bawah www tokopedia com kebutgopay tokopediapromo tokopedia twitter com
"Ide kado buat kondangan ada disini👇 

Izin tag ya kak: #KimGoEun Injoo Besok Senin Hoshi hyorin Doil #刘扬扬1010生日快乐 #winmetawin Kingdom #에이티즈 https://t.co/OilveELgc9","Ide kado buat kondangan ada disini👇 

Izin tag ya kak: #KimGoEun Injoo Besok Senin Hoshi hyorin Doil #刘扬扬1010生日快乐 #winmetawin Kingdom #에이티즈 https://twitter.com/myrubi127/status/1551910539080527874","Ide kado buat kondangan ada disini👇 

Izin tag ya kak: #KimGoEun Injoo Besok Senin Hoshi hyorin Doil #刘扬扬1010生日快乐 #winmetawin Kingdom #에이티즈 twitter.com",1,ide kado buat kondangan ada disini izin tag ya kak kimgoeun injoo besok senin hoshi hyorin doil 1010 winmetawin kingdom twitter com,ide kado kondangan izin tag ya kak kimgoeun injoo besok senin hoshi hyorin doil 1010 winmetawin kingdom twitter com,ide kado kondangan izin tag ya kak kimgoeun injoo besok senin hoshi hyorin doil 1010 winmetawin kingdom twitter com
"FLASH SALE

🏷️https://t.co/m1smhLbJIi

Besok senin hamil wooyoung iqbal 15 sks senin u-17 markus injoo kingdom malaysia puyol trent nunez senin vegabond arsenal iqbal  #LittleWomenEp12 #BiggBossTamil6 #ARSLIV #MANIACinJKT #Centaurus #BTSARMY #IkatanCintaEp905 https://t.co/qHrzGfPrWj","FLASH SALE

🏷️https://shope.ee/fp8J5n1nt

Besok senin hamil wooyoung iqbal 15 sks senin u-17 markus injoo kingdom malaysia puyol trent nunez senin vegabond arsenal iqbal  #LittleWomenEp12 #BiggBossTamil6 #ARSLIV #MANIACinJKT #Centaurus #BTSARMY #IkatanCintaEp905 https://twitter.com/ryzakiren/status/1579167376435998720/photo/1","FLASH SALE

🏷️shope.ee

Besok senin hamil wooyoung iqbal 15 sks senin u-17 markus injoo kingdom malaysia puyol trent nunez senin vegabond arsenal iqbal  #LittleWomenEp12 #BiggBossTamil6 #ARSLIV #MANIACinJKT #Centaurus #BTSARMY #IkatanCintaEp905 twitter.com",1,flash sale shope ee besok senin hamil wooyoung iqbal 15 sks senin u 17 markus injoo kingdom malaysia puyol trent nunez senin vegabond arsenal iqbal littlewomenep12 biggbosstamil6 arsliv maniacinjkt centaurus btsarmy ikatancintaep905 twitter com,flash sale shope ee besok senin hamil wooyoung iqbal 15 sks senin u 17 markus injoo kingdom malaysia puyol trent nunez senin vegabond arsenal iqbal littlewomenep12 biggbosstamil6 arsliv maniacinjkt centaurus btsarmy ikatancintaep905 twitter com,flash sale shope ee besok senin hamil wooyoung iqbal 15 sks senin u 17 markus injoo kingdom malaysia puyol trent nunez senin vegabond arsenal iqbal littlewomenep12 biggbosstamil6 arsliv maniacinjkt centaurus btsarmy ikatancintaep905 twitter com
"Bedak azzura jadi 3000an 
Vouchernya follow toko azzura 

https://t.co/LVpUq8oLQk

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin https://t.co/AtJVjVYLre","Bedak azzura jadi 3000an 
Vouchernya follow toko azzura 

https://shope.ee/6f6LRSOjlA

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin https://twitter.com/rizhrizal/status/1579166888223014915/photo/1","Bedak azzura jadi 3000an 
Vouchernya follow toko azzura 

shope.ee

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin twitter.com",1,bedak azzura jadi 3000an vouchernya follow toko azzura shope ee shopeepaythr zonauang zonaba chaeryeong itzy iqbal besok 10 10 kuntilanak bintang emon senin twitter com,bedak azzura 3000an vouchernya follow toko azzura shope ee shopeepaythr zonauang zonaba chaeryeong itzy iqbal besok 10 10 kuntilanak bintang emon senin twitter com,bedak azzura 3000an vouchernya follow toko azzura shope ee shopeepaythr zonauang zonaba chaeryeong itzy iqbal besok 10 10 kuntilanak bintang emon senin twitter com
"Somethinc 10rb an udah terjual 1.400 guyss 

https://t.co/SxnMCfJcpy

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin https://t.co/mnwYl5hTIc","Somethinc 10rb an udah terjual 1.400 guyss 

https://shope.ee/1q15fLYeV7

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin https://twitter.com/rizhrizal/status/1579160916649967616/photo/1","Somethinc 10rb an udah terjual 1.400 guyss 

shope.ee

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin twitter.com",1,somethinc 10rb an udah terjual 1 400 guyss shope ee shopeepaythr zonauang zonaba chaeryeong itzy iqbal besok 10 10 kuntilanak bintang emon senin twitter com,somethinc 10rb an udah terjual 1 400 guyss shope ee shopeepaythr zonauang zonaba chaeryeong itzy iqbal besok 10 10 kuntilanak bintang emon senin twitter com,somethinc 10rb an udah jual 1 400 guyss shope ee shopeepaythr zonauang zonaba chaeryeong itzy iqbal besok 10 10 kuntilanak bintang emon senin twitter com
"Miisoo diskon 50%
Maksimal Rp20.000

https://t.co/4kfIgqYtRl

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin https://t.co/BmmRDDyYFI","Miisoo diskon 50%
Maksimal Rp20.000

https://shope.ee/30D336QZKj

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin https://twitter.com/rizhrizal/status/1579159157260722177/photo/1","Miisoo diskon 50%
Maksimal Rp20.000

shope.ee

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin twitter.com",1,miisoo diskon 50 maksimal rp20 000 shope ee shopeepaythr zonauang zonaba chaeryeong itzy iqbal besok 10 10 kuntilanak bintang emon senin twitter com,miisoo diskon 50 maksimal rp20 000 shope ee shopeepaythr zonauang zonaba chaeryeong itzy iqbal besok 10 10 kuntilanak bintang emon senin twitter com,miisoo diskon 50 maksimal rp20 000 shope ee shopeepaythr zonauang zonaba chaeryeong itzy iqbal besok 10 10 kuntilanak bintang emon senin twitter com
