final_tweet,label
"Vaseline Gluta Hya 200ml
💰dari 56.500 ke 47.300
 lagi turun harga nih bestie buruan di checkout
 shope
4.9 ⭐️⭐️⭐️⭐️
Shopee Hamil iqbal vagabond senin sunscreen Bima sakti 15 SKS markus bintang emon kenceng  U-17 tifa besok 10.10 sang ah kerasa #racunshopee twitter",1
"Fans kpop bts harus punya nih 
OTOMATIS GRATIS ONGKIR TANPA VOUCHER

shope

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin twitter",1
"Rekomendasi aksesoris aeshtetik buat ciwik2✨
Belinya disini 👉 shp

Info promo dan diskon⤵️

_____
Dokter|Nunez|Besok Senin|Local|Wasit twitter",1
"Gratisss nih roughneck
shope

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin twitter",1
"Besok senin even 10.10 di Tokopedia. Jangan lupa belanja ke toko dibawah ini !!
1. Nivea : 
tokopedia
2. Unilever :
tokopedia

Klaim voucher kebut gopay di tokopedia via link dibawah ini

www.tokopedia

#KebutGoPay #TokopediaPromo #tokopedia twitter",1
"Ide kado buat kondangan ada disini👇 

Izin tag ya kak: #KimGoEun Injoo Besok Senin Hoshi hyorin Doil #刘扬扬1010生日快乐 #winmetawin Kingdom #에이티즈 twitter",1
"FLASH SALE

🏷️shope

Besok senin hamil wooyoung iqbal 15 sks senin u-17 markus injoo kingdom malaysia puyol trent nunez senin vegabond arsenal iqbal  #LittleWomenEp12 #BiggBossTamil6 #ARSLIV #MANIACinJKT #Centaurus #BTSARMY #IkatanCintaEp905 twitter",1
"Bedak azzura jadi 3000an 
Vouchernya follow toko azzura 

shope

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin twitter",1
"Somethinc 10rb an udah terjual 1.400 guyss 

shope

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin twitter",1
"Miisoo diskon 50%
Maksimal Rp20.000

shope

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin twitter",1
"Sneakers

Besok senin hamil wooyoung iqbal 15 sks senin u-17 markus injoo kingdom malaysia puyol trent nunez senin vegabond arsenal #LittleWomenEp12 #BiggBossTamil6 #ARSLIV #MANIACinJKT #Centaurus #BTSARMY twitter",1
"""@sellkpopfess twitter

nihhh yuu kaaaa dom jakarta good condi~""",1
"Gass masih adaa  avoskin shope

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin twitter",1
"Spesial 10.10 | Shopee Mall | Digimap | Apple iPhone 12 64GB Purple

➖ Diskon 25% Rate 5 ⭐
🔗 shope

Hamil Vagabond wooyoung Igbal Injoo Kuntilanak Kingdom Jongho Besok Senin #LittleWomenEp12 twitter",1
"‼️WAR PC NCT‼️

Start from 10k-85k

📆 Jumat, 21 Oktober 2022
🕒 WAR JAM 20:05 WIB
📍 Dom Jakarta Timur &amp; Palembang
✅ HARGA BERSIH KR
✅ Bisa Co Shopee &amp; Tokped

💸Ada Perubahan Harga💸

t. wts pc nct ina nct dream 127 haechan jungwoo jaehyun 2 baddies faster digipack photobook twitter",1
"Voucher brand diskon 50%
10 Oktober 2022
⏰00.00 wib
Klaim dan cek selengkapnya disini

shope

#ShopeepayTHR #Zonauang #Zonaba #CHAERYEONG #ITZY iqbal Besok 10.10 Kuntilanak Bintang emon Senin twitter",1
WTS INA Weverse BTS JIN THE ASTRONAUTS 🫰🏻 295k dp 200k (purple version) ✅Shipping &amp; TAX WH Korea 🖇harga bisa turun/naik/tetap menyesuaikan berat &amp; tax barang 🧘🏻DOM Jakarta Pusat/Bekasi/Balikpapan 🙆🏼‍♀️ada group jajan di Line 🤙🏻Open Cicilan 🍊SHOPEE gratis ongkir 🖇@rkiveshopid twitter Besok Senin ,1
"Rekomendasi Sepatu Sneakers Original By ASICS

a thread⤵️

tag: #littlewomenep12 #arsliv #shopee1010 #racunshopee arsenal #ourmiracleyangyang puyol u-17 #mufc #刘扬扬1010生日快乐 pagi senin olahraga sehat twitter",1
"Atasan batik 

Besok senin ronaldo antony wooyoung iqbal 15 sks senin u-17 injoo malaysia arsenal tomiyasu casemiro hendo trent besok 10.10 kingdom #LittleWomenEp12 #centaurus #timnasu17 #CentaurusMall #KimGoEun #LouisVuitton #PENTAGON #Pentagon6thWish twitter",1
