final_tweet,label
"Lisaa😻💗💗

#lisa
#blackpinklisa twitter",0
BENER BENER HARUTO LISA ANJINGGG BENERAN KAGASI,0
"hehe.... the power of lalalalisa_m
#LISA #HARUTO #TREASURE twitter",0
"Zendaya, Mona Lisa &amp; Tom Holland 🎨 twitter",0
"Blackpink and lisa? Wow, Interesting. wkwk mau lihat persentase kedua nya, siapa kah yg lebih unggul 😬 aku tahu lilies juga sangat keren kalo ada voting. Aku tetap pilih blackpink dan lisa secara bergantian nnti 😊 twitter",0
LISA UNNIE YA KAN RUTO #HARUTO #LISA twitter,0
@rickburin Mona Lisa.,0
"anjir haruto lisa😭🫠🫠 demi apapun w kira editan maafff, Aslii gue tonton mulu😭💕 senenggg bgt akhirnya, yuk bisa next jennie with jihoon🙇🏼‍♀️",0
"Ngikutin haruto dari setahun sebelum debut kalo ga salah, suka ya karena emng sevibes itu Ama Lisa, tapi buat stan dia, stan grupnya, masih ga tertarik, but jujur sayang banget Ama treasure, please balik lengkap lagi ya 🥲🙏

#LISA #LALISA #MONEY twitter",0
"@harutoboboan @patietoursr kata si stan tresur 🤡 susah bgt lu bersyukur udah fave nya dipromosiin lisa masi aja fansnya ngerepet sana sini, hush najis",0
INI APASIH YANG DI MAKAN SI LISA BLACKPINK GUE PENGEN twitter,0
"GUA NANGIS BANGET SIH HARUTO SM LISA HELLO😭😭😭
#LISAXHARUTO #HARUTO #LISA",0
"Tarik minat investor di IKN Nusantara
Pemerintah siapkan sejumlah insentif. #Viral Moana #JIMINDAY #HappyBirthdayJimin #OurBelovedJimin  #AngelofOctober JIMIN JIMIN Mimi Lisa Busan Denji Makima #JOKOWI #INDONESIA SAYANG UDAH MAKAN twitter",0
@ewoodlz gak tau padahal nggak ngapa ngapain tapi cape... hehehe gapapa kak emg dn nya kosongan 😻🤟🏻 lisa juga aku suka &gt;____&lt;,0
"@Born2Bredarmy LALISA

#LALISA #MONEY #LISA",0
yg gue pikirin gmn carany haruto ngajak lisa twitter,0
"Saking pusing liat persenggolan solo stan ama kita belink liat kek gini aja gue ngakak 
..
Jennie Lesti Lisa Inul anggota baru Blackpink😭 twitter",0
@rosiemyroses lisa,0
AAAAAAAAAAAAKKKKKKKKKK MASI GANYANGKA GUE HARUTO LISA BAKAL SATU FRAME 😭😭😭 twitter,0
@GenuineUndead @_SavageUchiha @Cryptok34505857 @MszFortune @ShibFlotro7 @Gndmxrjdm Mona Lisa,0
harus nya #HARUTO  x #LISA  dance Money gak sih???,0
Dikata lisa nasi rames dibungkus? Wkwk 😆😂 twitter,0
"MIMPI APA INI LISA BARENG HARUTO???
BIAS KU 2-2 NYAAA 😭❤️ NANGIIISSS

dan umur mereka beda jauh padahal, tapi Lisa berasa kaya adik nya Ruto 😭
 
*btw tembok pesantren YG udah runtuh keknya🤣 twitter",0
tan linda lisa twitter,0
@TweetyChrystusa Mona Lisa?,0
"Pertumbuhan ekonomi kuartal kedua 5,44% termasuk terbaik di dunia. #Viral Moana #JIMINDAY #HappyBirthdayJimin #OurBelovedJimin  #AngelofOctober JIMIN JIMIN Mimi Lisa Busan Denji Makima twitter",0
mau jadi haruto atau mau jadi lisa ya aduh susah banget milihnya xidsjsnsnsns #HARUTO #LISA twitter,0
"Kecil banget Pinggang Lisa Blackpink.. perut nya juga rataa, makannya tu lari kemana ya 🙄",0
PB ada yang mau followan sama aku? rt aja ya - lisa,0
@kierjalcaraz Yaaas pabuntis mo na si lisa kay bojooo,0
@luvfurs Ahh fck that grp for all I care.. disband je lagi bagus dr lisa kena tone down sbb yg lain perform mcm gampang bosan 😪,0
@lisa_said26 Sangat cantikkkkk,0
Demi apasi Haruto sama Lisa woy bikin challenge akkkk,0
"@idextratime Lagian yg paling benar itu adalah pembersihan PSSi ,seluruh pengurus dan Exconya harus mundur, FIFA dan pemerintah bentuk baru.   Kalo cuma IbUL dan STY out mah Bunuh Diri namanya, skuat mafia lama ambil alih lagi😭😭 , kl dah gitu bubarin aja bola dah,pemaen suru main futsal aja",0
